query_id,query,predicted_code,predicted_label,gold_codes,graph_relationship,graph_matched_gold_code,graph_shared_parent_code,graph_prediction_found,graph_gold_found,note
0,Alzheimer s disease,MONDO:0004975,Alzheimer disease,EFO:0000249,Unrelated,,,True,True,
1,Endocarditis valve unspecified,EFO:0000465,endocarditis,EFO:0000465,Same,EFO:0000465,,True,True,
2,Family history of other conditions,EFO:0000493,family history,EFO:0000493,Same,EFO:0000493,,True,True,
3,Unspecified maternal hypertension,MONDO:0024664,"hypertension, pregnancy-induced",EFO:0000668,More General,EFO:0000668,,True,True,
4,Stroke not specified as haemorrhage or infarction,EFO:0000712,stroke,EFO:0000712,Same,EFO:0000712,,True,True,
5,Subarachnoid haemorrhage,EFO:0000713,subarachnoid hemorrhage,EFO:0000713,Same,EFO:0000713,,True,True,
6,Unspecified human immunodeficiency virus,EFO:0000764,HIV infection,EFO:0000764,Same,EFO:0000764,,True,True,
7,Other endocrine disorders,EFO:0001379,endocrine system disease,EFO:0001379,Same,EFO:0001379,,True,True,
8,Other diseases of liver,EFO:0001421,liver disease,EFO:0001421,Same,EFO:0001421,,True,True,
9,Primary disorders of muscles,EFO:0002970,muscular disease,EFO:0002970,Same,EFO:0002970,,True,True,
10,Pervasive developmental disorders,MONDO:0000594,pervasive developmental disorder,EFO:0003759,More General,EFO:0003759,,True,True,
11,Other cerebrovascular diseases,EFO:0003763,cerebrovascular disorder,EFO:0003763,Same,EFO:0003763,,True,True,
12,Other diseases of gallbladder,EFO:0003832,gallbladder disease,EFO:0003832,Same,EFO:0003832,,True,True,
13,Pain,EFO:0003843,pain,EFO:0003843,Same,EFO:0003843,,True,True,
14,Fracture of spine level unspecified,EFO:0003902,spinal fracture,EFO:0003902,Same,EFO:0003902,,True,True,
15,Acute hepatitis B,EFO:0004197,hepatitis B virus infection,EFO:0004197,Same,EFO:0004197,,True,True,
16,Abnormalities of heart beat,EFO:0004269,cardiac arrhythmia,EFO:0004269,Same,EFO:0004269,,True,True,
17,Scoliosis,EFO:0004273,scoliosis,EFO:0004273,Same,EFO:0004273,,True,True,
18,Other congenital malformations of heart,EFO:0005269,congenital heart malformation,EFO:0005269,Same,EFO:0005269,,True,True,
19,Disorders of tooth development and eruption,EFO:1001216,tooth disease,EFO:0005410,More General,EFO:0005410,,True,True,
20,Intracerebral haemorrhage,EFO:0005669,intracerebral hemorrhage,EFO:0005669,Same,EFO:0005669,,True,True,
21,Retinal detachments and breaks,EFO:0005773,retinal detachment,EFO:0005773,Same,EFO:0005773,,True,True,
22,Tuberculosis of nervous system,EFO:0007199,central nervous system tuberculosis,EFO:0007199,Same,EFO:0007199,,True,True,
23,Acute hepatitis A,EFO:0007305,hepatitis A virus infection,EFO:0007305,Same,EFO:0007305,,True,True,
24,Hookworm diseases,EFO:0007314,hookworm infectious disease,EFO:0007314,Same,EFO:0007314,,True,True,
25,Female infertility,EFO:0008560,female infertility,EFO:0008560,Same,EFO:0008560,,True,True,
26,Sleep disorders,EFO:0008568,Sleep Disorder,EFO:0008568,Same,EFO:0008568,,True,True,
27,Thiamine deficiency,EFO:0008569,Thiamine deficiency,EFO:0008569,Same,EFO:0008569,,True,True,
28,Viral conjunctivitis,EFO:0008571,viral conjunctivitis,EFO:0008571,Same,EFO:0008571,,True,True,
29,Alcoholic liver disease,EFO:0008573,alcoholic liver disease,EFO:0008573,Same,EFO:0008573,,True,True,
30,Spinal osteochondrosis,EFO:0008576,Spinal Osteochondrosis,EFO:0008576,Same,EFO:0008576,,True,True,
31,Diseases of salivary glands,EFO:0008581,salivary gland disease,EFO:0008581,Same,EFO:0008581,,True,True,
32,Gender identity disorders,EFO:0008587,gender identity disorder,EFO:0008587,Same,EFO:0008587,,True,True,
33,Status asthmaticus,EFO:0008590,Status Asthmaticus,EFO:0008590,Same,EFO:0008590,,True,True,
34,Cystic kidney disease,EFO:0008615,Cystic Kidney Disease,EFO:0008615,Same,EFO:0008615,,True,True,
35,Polyp of female genital tract,EFO:0008622,female genital tract polyp,EFO:0008622,Same,EFO:0008622,,True,True,
36,Persistent mood,EFO:0008623,dysthymic disorder,EFO:0008623,Same,EFO:0008623,,True,True,
37,Disorders of vitreous body,EFO:0008624,vitreous body disease,EFO:0008624,Same,EFO:0008624,,True,True,
38,Ovarian dysfunction,EFO:0009003,ovarian dysfunction,EFO:0009003,Same,EFO:0009003,,True,True,
39,Other coagulation defects,EFO:0009314,blood coagulation disease,EFO:0009314,Same,EFO:0009314,,True,True,
40,Granulomatous disorders of skin and subcutaneous tissue,EFO:1000705,granulomatous dermatitis,EFO:1000705,Same,EFO:1000705,,True,True,
41,Excessive vomiting in pregnancy,EFO:1000971,hyperemesis gravidarum,EFO:1000971,Same,EFO:1000971,,True,True,
42,Hyperfunction of pituitary gland,EFO:1000973,hyperpituitarism,EFO:1000973,Same,EFO:1000973,,True,True,
43,Other nutritional deficiencies,EFO:1001067,nutritional deficiency disease,EFO:1001067,Same,EFO:1001067,,True,True,
44,Other rheumatic heart diseases,EFO:1001161,rheumatic heart disease,EFO:1001161,Same,EFO:1001161,,True,True,
45,Other helminthiases,EFO:1001342,Helminthiasis,EFO:1001342,Same,EFO:1001342,,True,True,
46,Unspecified viral infection of CNS,MONDO:0024318,viral infection of central nervous system,EFO:1001456,More Specific,EFO:1001456,,True,True,
47,Diverticular disease of intestine,EFO:0009959,diverticular disease,EFO:1001460,More General,EFO:1001460,,True,True,
48,Premature separation of placenta,EFO:1001754,Abruptio Placentae,EFO:1001754,Same,EFO:1001754,,True,True,
49,Retention of urine,HP:0000016,Urinary retention,HP:0000016,Same,HP:0000016,,True,True,
50,Unspecified urinary incontinence,HP:0000020,Urinary incontinence,HP:0000020,Same,HP:0000020,,True,True,
51,Isolated proteinuria,HP:0000093,Proteinuria,HP:0000093,Same,HP:0000093,,True,True,
52,Cleft palate,HP:0000175,Cleft palate,HP:0000175,Same,HP:0000175,,True,True,
53,Hydrocephalus,HP:0000238,Hydrocephalus,HP:0000238,Same,HP:0000238,,True,True,
54,Visual disturbances,HP:0000504,Abnormality of vision,HP:0000505,More General,HP:0000505,,True,True,
55,Unspecified dementia,MONDO:0001627,dementia,HP:0000726,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
56,Unspecified haematuria,HP:0000790,Hematuria,HP:0000790,Same,HP:0000790,,True,True,
57,Cholecystitis,HP:0001082,Cholecystitis,HP:0001082,Same,HP:0001082,,True,True,
58,Dystonia,MONDO:0003441,dystonic disorder,HP:0001332,Unrelated,,,True,True,
59,Ascites,HP:0001541,Ascites,HP:0001541,Same,HP:0001541,,True,True,
60,Iron deficiency anaemia,HP:0001891,Iron deficiency anemia,HP:0001891,Same,HP:0001891,,True,True,
61,Acute renal failure,MONDO:0002492,acute kidney failure,HP:0001919,Unrelated,,,True,True,
62,Nonspecific lymphadenitis,MONDO:0002052,lymphadenitis,HP:0002840,Unrelated,,,True,True,
63,Cachexia,HP:0004326,Cachexia,HP:0004326,Same,HP:0004326,,True,True,
64,Disseminated intravascular coagulation,HP:0005521,Disseminated intravascular coagulation,HP:0005521,Same,HP:0005521,,True,True,
65,Senile cataract,MONDO:0004847,senile cataract,HP:0011141,Unrelated,,,True,True,
66,Agranulocytosis,HP:0012234,Agranulocytosis,HP:0012234,Same,HP:0012234,,True,True,
67,Helicobacter pylori,EFO:1000961,Helicobacter pylori infectious disease,NCBITaxon:210,Unrelated,,,True,True,
68,Reduction defects of lower limb,MONDO:0019713,non-syndromic limb reduction defect,Orphanet:2130,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
69,Congenital hydrocephalus,MONDO:0016349,congenital hydrocephalus,Orphanet:2185,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
