query_id,query,predicted_code,predicted_label,gold_codes,graph_relationship,graph_matched_gold_code,graph_shared_parent_code,graph_prediction_found,graph_gold_found,note
0,B-lymphoblastic leukemia/lymphoma,EFO:0000094,B-cell acute lymphoblastic leukemia,EFO:0000094,Same,EFO:0000094,,True,True,
1,obsolete precursor B lymphoblastic lymphoma/leukemia,EFO:0000094,B-cell acute lymphoblastic leukemia,EFO:0000094,Same,EFO:0000094,,True,True,
2,B-cell acute lymphoblastic leukemia,EFO:0000094,B-cell acute lymphoblastic leukemia,EFO:0000094,Same,EFO:0000094,,True,True,
3,B Lymphoblastic Leukemia/Lymphoma,EFO:0009119,precursor lymphoblastic lymphoma/leukemia,EFO:0000094,More General,EFO:0000094,,True,True,
4,chronic lymphocytic leukemia,EFO:0000095,chronic lymphocytic leukemia,EFO:0000095,Same,EFO:0000095,,True,True,
5,B-cell chronic lymphocytic leukemia,EFO:0000095,chronic lymphocytic leukemia,EFO:0000095,Same,EFO:0000095,,True,True,
6,Chronic Lymphocytic Leukemia,EFO:0000095,chronic lymphocytic leukemia,EFO:0000095,Same,EFO:0000095,,True,True,
7,mature B-cell neoplasm,EFO:0000096,neoplasm of mature B-cells,EFO:0000096,Same,EFO:0000096,,True,True,
8,neoplasm of mature B-cells,EFO:0000096,neoplasm of mature B-cells,EFO:0000096,Same,EFO:0000096,,True,True,
9,Mature B-Cell Neoplasm,EFO:0000096,neoplasm of mature B-cells,EFO:0000096,Same,EFO:0000096,,True,True,
10,B-Cell Non-Hodgkin Lymphoma,EFO:1001938,B-cell non-Hodgkins lymphoma,EFO:0000096|EFO:1001938,Same,EFO:1001938,,True,True,
11,B cell,CL:0000236,B cell,EFO:0000097|EFO:0000102,Unrelated,,,True,True,
12,hypothalamus,UBERON:0001898,hypothalamus,EFO:0000107,Unrelated,,,True,True,
13,Hypothalamus,UBERON:0001898,hypothalamus,EFO:0000107,Unrelated,,,True,True,
14,olfactory lobe,UBERON:0005366,olfactory lobe,EFO:0000108,Unrelated,,,True,True,
15,Olfactory bulb,UBERON:0005366,olfactory lobe,EFO:0000108,Unrelated,,,True,True,
16,olfactory bulb,UBERON:0005366,olfactory lobe,EFO:0000108,Unrelated,,,True,True,
17,spinal cord,UBERON:0002240,spinal cord,EFO:0000110,Unrelated,,,True,True,
18,Spinal cord,UBERON:0002240,spinal cord,EFO:0000110,Unrelated,,,True,True,
19,Ewing sarcoma,EFO:0000174,Ewing sarcoma,EFO:0000173|EFO:0000174,Same,EFO:0000174,,True,True,
